dossier	nomenclature	libelle	colonnes	colonne_code	colonne_libelle	taille_ko	valeurs_embarquees
ORAREF	IR_HAD_PEC_PAL	Motif de prise en charge principal, HAD	PEC_PAL_COD,PEC_PAL_LIB,MPP,MPA,MPD	PEC_PAL_COD	PEC_PAL_LIB	1	oui
ORAREF	IR_HIS_R		HIS_PRS_IDE,HIS_HIS_DTD,HIS_HIS_DTF,HIS_ENP_TOP,HIS_TUX_TOP,HIS_MAX_EXE,HIS_SPE_REG,HIS_MAX_REG,HIS_MED_REF,HIS_RES_TOP,HIS_BIO_INV,HIS_SNG_TOP	HIS_PRS_IDE	HIS_HIS_DTD	128	non
ORAREF	IR_PHA_R	Référentiel des médicaments (correspondance CIP13, ATC et libellés)	PHA_AGE_DTD,PHA_AGE_MAX,PHA_AGE_MIN,PHA_ATC_C03,PHA_ATC_CLA,PHA_ATC_L03,PHA_ATC_LIB,PHA_CIP_C13,PHA_CIP_UCD,PHA_DAT_OPP,PHA_DER_MAJ,PHA_DOS_UNI,PHA_DTD_ALM,PHA_DTF_ALM,PHA_EPH_CLA,PHA_EPH_LIB,PHA_FRC_COD,PHA_FRC_LIB,PHA_FRM_COD,PHA_FRM_LIB,PHA_GRD_CND,PHA_GRS_DSD,PHA_GRS_NOM,PHA_GRS_NUM,PHA_HDD_SPE,PHA_IND_SUI,PHA_INS_DTD,PHA_INS_DTF,PHA_LAB_NOM,PHA_LIS_IND,PHA_MAX_QTR,PHA_MAX_QTS,PHA_MED_COM,PHA_MED_GEN,PHA_MED_IMG,PHA_MED_NAT,PHA_MED_NOM,PHA_MED_PCP,PHA_MED_PIH,PHA_MED_SEX,PHA_MED_SPE,PHA_MEX_IND,PHA_MTF_VAL,PHA_NOM_PA,PHA_PCP_DTD,PHA_PPC_IND,PHA_PRD_LIB1,PHA_PRD_LIB2,PHA_PRD_UND,PHA_PRD_UNI,PHA_PRE_IND,PHA_PRI_UND,PHA_PRI_UNI,PHA_PRS_IDE,PHA_RGE_C07,PHA_RGE_C13,PHA_SEX_DTD,PHA_SUB_DOS,PHA_TAR_DAT,PHA_TAU_COD,PHA_UPC_NBR	PHA_CIP_C13	PHA_ATC_LIB	14541	non
ORAREF	IR_PTF_R		PHA_CIP_C13,PTF_TAR_DTD,PTF_TAR_DTF,PHA_PRS_IDE,PTF_PRI_UNI,PHA_PRI_UND,PTF_TAU_COD,PHA_DAT_OPP	PHA_CIP_C13	PTF_TAR_DTD	2660	non
ORAREF	IR_PVR_R		NMED_HIS_COD,NMED_CRE_FIC,NMED_PHA_CHR	NMED_HIS_COD		23	oui
ORAREF	IR_TAJ_R		TAJ_CIP_C13,TAJ_CIP_COD,TAJ_AJU_DTD,TAJ_AJU_DTF,TAJ_AJU_TRF	TAJ_CIP_C13	TAJ_AJU_DTD	167	non
ORAREF	NT_ARB_V		CODE_LPP,LPP_LIB,TITRE,CHAPITRE,SECTION,SOUS_SECTION	CODE_LPP	LPP_LIB	2813	non
ORAREF	NT_COM		COM_PRS_IDE,COM_IDE_COM	COM_PRS_IDE		28	oui
ORAREF	NT_DOM		DOM_PRS_IDE,DOM_HIS_DTD,DOM_COD_DOM,DOM_COF_MAJ	DOM_PRS_IDE	DOM_HIS_DTD	20438	non
ORAREF	NT_HIS		LPH_PRS_IDE,LPH_HIS_DTD,LPH_HIS_DTF,LPH_PRS_NAT,LPH_ENP_TOP,LPH_ARR_DAT,LPH_PJO_DAT,LPH_DEV_TOP,LPH_REF_TAR,LPH_MAX_QTE,LPH_MAX_MNT	LPH_PRS_IDE	LPH_HIS_DTD	8911	non
ORAREF	NT_INC		INC_PRS_IDE,INC_IDE_INC	INC_PRS_IDE		201	non
ORAREF	NT_LPP	Liste des produits et prestations	LPP_PRS_IDE,LPP_RED_LIB,LPP_VAL_DTF,LPP_MAX_AGE,LPP_PRS_TYP,LPP_MED_IND,LPP_ARB_CHA,LPP_ARB_SC1,LPP_ARB_SC2,LPP_ARB_SC3,LPP_ARB_SC4,LPP_ARB_SC5,LPP_ARB_SC6,LPP_ARB_SC7,LPP_ARB_SC8,LPP_ARB_SC9,LPP_ARB_BAS,LPP_PRO_COD,LPP_ANC_COD	LPP_PRS_IDE	LPP_RED_LIB	4002	non
